Frequency (Hz),Trace 1 (dBV),Phase (deg)
362.2514449620428,-81.68304505031907,93.07674267980794
370.6758971704624,-82.45546215126693,60.8025330436437
379.100349378882,-80.63988374123088,35.94895542566295
387.5248015873016,-80.80209154583754,35.42089249424392
395.9492537957212,-81.61952009620913,23.09783156191886
404.3737060041408,-81.24709474334051,125.1486087145483
412.7981582125604,-81.40144494237376,69.20802298083291
421.22261042098,-81.29572857219296,47.56628788254324
429.6470626293996,-81.75483978327527,31.4746845140601
438.0715148378192,-81.39041330850092,154.1932587799247
446.4959670462388,-80.92896521244822,97.70839361921645
454.9204192546584,-80.87301098570121,68.83112511555203
463.344871463078,-82.4425909875351,15.70992298685668
471.7693236714976,-82.46155046692598,7.187157563431308
480.1937758799172,-81.50707509334325,9.085690564037627
488.6182280883368,-81.95539076664316,171.4665363929184
497.0426802967564,-81.91753225355436,6.773982799155002
505.467132505176,-82.21319027063336,32.295013460274
513.8915847135956,-82.26058135357729,36.1111522378446
522.3160369220152,-81.03869877420018,48.83995270234396
530.7404891304349,-81.56217692957904,59.39781239523002
539.1649413388544,-81.48309790673879,62.51424167946903
547.589393547274,-81.33036495739,67.95874386204805
556.0138457556936,-81.90504167109509,73.75120534836125
564.4382979641132,-81.10039477080919,95.61275335826556
572.8627501725329,-80.35388853268678,148.9839698219875
581.2872023809524,-80.14141035867753,147.0021142392094
589.7116545893721,-80.18981725921296,117.0308503621915
598.1361067977916,-80.26601351674532,94.66987541570381
606.5605590062112,-79.50255732611257,84.20253277734525
614.9850112146308,-79.24236828529308,79.14289535208422
623.4094634230504,-80.59910382762085,100.744982634393
631.8339156314701,-81.6614082199028,138.864392682315
640.2583678398896,-82.25737170522626,148.8683652582119
648.6828200483092,-81.32173416857405,122.4887159533373
657.1072722567288,-81.05049258642555,82.11702685792935
665.5317244651484,-80.00338100341403,41.58999973294632
673.9561766735681,-80.58023841344998,10.33720832837161
682.3806288819876,-82.18433826712841,169.1894367064446
690.8050810904073,-82.77528399243266,152.8874976876146
699.2295332988268,-81.34965657443894,137.1551170952541
707.6539855072464,-80.66335087571794,118.0292676726098
716.078437715666,-80.84039814509721,3.75058723156227
724.5028899240856,-80.23453652472263,125.0568219639335
732.9273421325053,-79.78376544406738,115.9193330119916
741.3517943409248,-78.71299291896874,85.85363878658413
749.7762465493445,-79.67865812829818,47.1236861233325
