Frequency (Hz),Trace 1 (dB),Phase (deg)
1489.2578125,-80.62435788746386,124.1936877636268
1501.46484375,-81.7575928119907,127.236609843798
1513.671875,-82.04285332692626,152.1895087743145
1525.87890625,-81.89290573880041,13.22984418700318
1538.0859375,-82.33215957620058,44.82034515111665
1550.29296875,-81.98457856786644,65.47843707815207
1562.5,-83.20295015084824,114.3994285714976
1574.70703125,-82.90514500075125,154.4146959092742
1586.9140625,-82.54119544509011,149.0374470796458
1599.12109375,-82.01259741745852,148.7746879476895
1611.328125,-81.86472075416341,147.2454025792806
1623.53515625,-82.66921775292448,130.2242984119742
1635.7421875,-81.66006767580132,116.7821866791652
1647.94921875,-81.49830564685988,114.5367333749908
1660.15625,-82.32687995955722,125.2464988068794
1672.36328125,-82.17993079321703,148.3581226062025
1684.5703125,-82.68255205033128,173.672116462293
1696.77734375,-82.30638509718041,174.2854273515786
1708.984375,-80.79532650041432,166.4348981672257
1721.19140625,-81.11012393029974,150.4819803252133
1733.3984375,-81.75535273669489,115.6620165162253
1745.60546875,-81.54984227912942,89.29042842307088
1757.8125,-82.68766282444119,77.48830255874242
1770.01953125,-82.46224654449948,68.46965189684285
1782.2265625,-81.91055762996882,81.35198900609075
1794.43359375,-82.66046285155092,110.1069377861736
1806.640625,-82.11559614015454,92.93528296998716
1818.84765625,-81.70947341018351,44.55680345191783
1831.0546875,-80.99610426033706,36.51709416416673
1843.26171875,-82.42391821116728,32.05840959122364
1855.46875,-82.43300468642107,26.14005488730592
1867.67578125,-83.07589170826532,52.17716456723372
1879.8828125,-81.52358217909834,177.2928778835953
1892.08984375,-81.19028503207363,26.26003600219401
1904.296875,-82.47493390317408,43.60420619845154
1916.50390625,-82.1675979901663,71.76477984650077
1928.7109375,-81.65025007092579,121.3529376121056
1940.91796875,-82.16421141796096,166.8144334521792
1953.125,-81.96722557683565,172.8984899270694
1965.33203125,-81.68852844143788,164.0138892729134
1977.5390625,-80.87840030700562,9.665179291224748
1989.74609375,-82.14539438938596,59.17570373008467
2001.953125,-81.34685067688905,124.0130733155432
2014.16015625,-82.06124683618296,140.5808073462832
2026.3671875,-81.22013034527225,150.0862256322978
2038.57421875,-80.92539214211038,161.6284159699349
2050.78125,-81.52965244157799,153.6404644355213
2062.98828125,-81.48849919587617,141.791257191067
2075.1953125,-82.2843487172938,126.5042977897767
2087.40234375,-82.7694893194146,145.6365151616017
2099.609375,-82.96614869323983,46.57016166799417
2111.81640625,-82.85708776406791,54.35686584473166
2124.0234375,-82.58010362878066,52.02263839905887
2136.23046875,-82.97884025455902,54.60174597808427
2148.4375,-83.01509396754284,56.85456747519313
2160.64453125,-82.55757138429684,60.24590794408885
2172.8515625,-82.80052018888182,73.53433675661765
2185.05859375,-82.28028953721916,86.97793499251384
2197.265625,-82.28852174152931,96.05543049663939
2209.47265625,-83.60073442890078,108.0309659436921
2221.6796875,-82.34346546326682,126.0217853928197
2233.88671875,-82.66841521357799,134.4574270035561
2246.09375,-82.05320441026774,128.4695288227263
2258.30078125,-80.52415684720026,132.7142901996949
2270.5078125,-80.95532127785461,146.1294632089676
2282.71484375,-81.87446235646634,154.7834640123926
2294.921875,-82.09951589880743,169.9287543302749
2307.12890625,-82.756646515471,12.54084087022048
2319.3359375,-82.97481605708511,24.72702817231013
2331.54296875,-82.58477066441471,23.58915104300016
2343.75,-80.65590011631924,124.593123418064
2355.95703125,-80.28620753387203,124.353006179573
2368.1640625,-81.57815787966129,129.4541281562421
2380.37109375,-80.96851050855362,143.9974207661088
2392.578125,-83.07473388781679,178.0497350912685
2404.78515625,-81.99391982826509,23.80730031080143
2416.9921875,-81.93753472160091,41.96875285619121
2429.19921875,-82.15890801025408,35.89427552126558
2441.40625,-82.40943085958182,145.7686008853906
2453.61328125,-82.87606227893042,83.21792836414366
2465.8203125,-82.51931748215227,82.38816709936572
2478.02734375,-82.65328515145784,85.6695754064875
2490.234375,-82.38522614710682,77.46387102501244
2502.44140625,-81.94669575025499,57.02978244925202
2514.6484375,-81.47527619762661,53.01076125583765
2526.85546875,-82.02724547010436,34.16945579320433
2539.0625,-82.074335347204,20.61238911009059
2551.26953125,-83.29061790846714,20.27654960444216
2563.4765625,-83.53483141384044,8.269874087817842
2575.68359375,-82.61705910817939,169.1970967637239
2587.890625,-82.41511122484494,177.1745488264593
2600.09765625,-82.32992809992513,29.28464544547455
2612.3046875,-82.34088122234479,73.08920697045222
2624.51171875,-82.1018482071335,88.05971356381815
2636.71875,-83.03155289545693,103.612514926484
2648.92578125,-83.35605713465092,168.0453898460373
2661.1328125,-82.68855823060301,39.12070639329523
2673.33984375,-82.45505286002492,68.90049601183848
2685.546875,-82.44784195965033,80.41837392251665
2697.75390625,-82.58679579098163,92.84658848314076
2709.9609375,-82.34591068149942,103.1136707282453
2722.16796875,-82.34912288517405,109.8544146407203
2734.375,-83.0424104983082,112.4748340432208
2746.58203125,-82.50119373309902,106.173666168454
2758.7890625,-83.09416139583057,101.1909295728142
2770.99609375,-82.89445803301108,21.2347893203127
2783.203125,-82.56740538409318,76.46756117568499
2795.41015625,-82.08654499938262,92.23472872166522
2807.6171875,-82.98375182632945,98.4275262168123
2819.82421875,-82.26718649447066,114.6907920035633
2832.03125,-82.56477211870708,141.9247444706557
2844.23828125,-83.30403387267708,165.5168588419981
2856.4453125,-82.73562768531085,0.3911400577963069
2868.65234375,-82.22847447146238,41.17808568478753
2880.859375,-81.95219188858502,100.7994999685528
2893.06640625,-82.8586922130649,136.0689003054545
2905.2734375,-82.34963604622303,147.6299975479065
2917.48046875,-82.4094053827111,163.1406092647815
2929.6875,-83.11697989864194,114.461774324842
2941.89453125,-82.50381697443622,24.95459340442683
2954.1015625,-82.41595675986838,46.49203566053553
2966.30859375,-82.66867026781641,48.00230755673336
2978.515625,-82.42028899512317,40.06603391465642
2990.72265625,-82.97727120774294,30.25287861511035
3002.9296875,-82.49420093408334,19.88832607058733
3015.13671875,-82.31950997975457,18.01619400628125
3027.34375,-82.31468064714514,19.40695190027721
3039.55078125,-82.04724145912053,19.79319375761015
3051.7578125,-81.62610485753861,20.30518579623398
